procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free     buff   cache   si   so    bi    bo   in    cs us sy id wa st
130  0  22528 3984344 224976 4582092    0    0    99    12  204   417  4  1 96  0  0
129  0  22528 3982064 224976 4582092    0    0     0     0 7329  9856 100  0  0  0  0
128  0  22528 3983624 224976 4582092    0    0     0     0 7097  9657 99  0  0  0  0
128  0  22528 3983624 224992 4582084    0    0     0   128 6910  9317 99  0  0  0  0
128  0  22528 3983372 224992 4582092    0    0     0  3108 7289  9454 99  0  0  0  0
128  0  22528 3983372 224992 4582092    0    0     0    76 6978  9370 100  0  0  0  0
128  0  22528 3983120 224992 4582092    0    0     0     0 7076  9646 99  0  1  0  0
129  0  22528 3983120 224992 4582092    0    0     0     0 7277 10111 100  0  0  0  0
128  0  22528 3982896 224992 4582092    0    0     0     0 6972  9397 99  0  1  0  0
128  0  22528 3982896 225000 4582092    0    0     0   128 7077  9557 99  0  0  0  0
